front,back,apUnit,geoSpriteCategory,reasoningProcess,difficulty,mustKnow
"Write a contextualization starter for a prompt about Enlightened Despotism.","Before Frederick the Great and Catherine the Great adopted Enlightenment rhetoric to legitimize their rule, the philosophes had already spent decades arguing that reason, not tradition, should guide governance -- creating an intellectual framework that ambitious rulers could appropriate without actually surrendering power.",4,I,context,medium,no
"Write a contextualization starter for a prompt about trade unionism and labor movements.","Before trade unions emerged as organized political forces in the late 19th century, decades of industrialization had already concentrated workers in factories and cities where they shared common grievances -- low wages, dangerous conditions, and the loss of artisanal independence -- creating the conditions for collective action.",6,S,context,medium,yes
"Write a contextualization starter for a prompt about the Revolutions of 1830.","Before liberal and nationalist movements erupted in France, Belgium, and Poland in 1830, fifteen years of conservative repression under the Concert of Europe had suppressed but not eliminated the Enlightenment ideals of popular sovereignty and constitutionalism that the French Revolution had unleashed across Europe.",7,P,context,medium,no
"Write a contextualization starter for a prompt about the Treaty of Versailles.","Before the peacemakers gathered at Versailles in 1919, four years of unprecedented industrial warfare had killed millions, destroyed empires, and radicalized populations -- creating a political environment in which the victors faced impossible pressure to punish Germany while simultaneously rebuilding a stable European order.",8,P,context,medium,yes
"Write a contextualization starter for a prompt about the rise of the welfare state.","Before postwar governments built comprehensive welfare states, the experience of total war -- in which states had mobilized entire populations for collective sacrifice -- had created both the administrative capacity and the popular expectation that government should provide security from cradle to grave.",9,S,context,medium,yes
"Write a contextualization starter for a prompt about Adam Smith and free-market economics.","Before Adam Smith published The Wealth of Nations in 1776, mercantilist policies had dominated European economic thinking for two centuries, with states tightly controlling trade to accumulate gold and silver -- creating the very restrictions and inefficiencies that Smith would systematically dismantle through his argument for free markets guided by the invisible hand.",4,E,context,medium,yes
"Write a contextualization starter for a prompt about the Second Industrial Revolution.","Before steel, electricity, and chemicals transformed European economies after 1870, the first Industrial Revolution had already demonstrated that mechanized production could generate unprecedented wealth -- but also unprecedented inequality, urban misery, and working-class radicalism that the second wave would intensify.",6,T,context,medium,no
"How did the Mediterranean-to-Atlantic trade shift reshape European geography of power?","Geography (G) is the primary lens. Mediterranean city-states (Venice, Genoa) declined as Atlantic-facing states (Portugal, Spain, Netherlands, England) gained access to oceanic trade. This wasn't just about money -- it physically relocated Europe's center of gravity westward. The map of power changed because the map of trade changed.",1,G,application,medium,yes
"Compare the role of Religion (R) in the Thirty Years' War's beginning vs. its end.","Beginning (1618): genuinely religious -- Catholic vs. Protestant conflict in the HRE over the rights established at Augsburg. End (1640s): primarily political -- Catholic France allied with Protestant Sweden against the Catholic Habsburgs. The war started as a religious conflict and ended as proof that state interest had replaced religion as the organizing principle of European diplomacy.",2,R,comparison,hard,yes
"How would you use the Suez Canal (1869) as evidence in an essay about global capitalism?","The Suez Canal is Geography (G) and Technology (T) evidence that physical infrastructure drove economic integration. It halved transit time between Europe and Asia, making colonial trade far more profitable. Use it for mega-pattern #15 (local to global capitalism): each new transport link -- from caravels to railways to canals -- compressed the world and deepened European economic dominance.",7,G,application,medium,no
"Compare the role of Technology (T) in WWI trench warfare and WWII blitzkrieg.","WWI: defensive technology (machine guns, barbed wire, artillery) outpaced offensive capability, creating stalemate. The result: static trench warfare and catastrophic casualties for minimal gains. WWII: offensive technology (tanks, aircraft, radio coordination) restored mobile warfare through blitzkrieg. Technology determined the CHARACTER of each war -- one frozen, the other devastatingly fast.",8,T,comparison,medium,yes
"What was the role of geography in the Cold War's division of Europe?","Geography (G) is the underused lens for the Cold War. The Iron Curtain followed the line where Soviet and Western armies met in 1945 -- a military accident became a political border. Berlin's geographic position deep inside East Germany made it the Cold War's most dangerous flashpoint. The physical division of Europe was not inevitable; it was a frozen accident of where armies stopped.",9,G,application,medium,yes
"Compare the social impact of the Black Death (1347-1351) and WWI (1914-1918) using the Social (S) lens.","Black Death: killed ~30-60% of Europe's population; survivors gained bargaining power; serfdom declined in Western Europe; accelerated the transition from feudal to capitalist labor relations. WWI: killed ~10 million soldiers; produced the ""Lost Generation""; women entered the workforce; shattered faith in progress and liberal institutions. Both were demographic catastrophes that restructured social hierarchies -- one freed peasants, the other radicalized nations.",8,S,comparison,hard,no
"How would you use Fritz Haber's career as evidence in an essay about science and society?","Fritz Haber is the ultimate Technology (T) and Intellectual (I) complexity piece. He invented the Haber-Bosch process (nitrogen fixation for fertilizer -- arguably saved billions from starvation) AND developed poison gas for WWI. One man embodies mega-pattern #25 (scientific progress to technological destruction). Use him to argue that the connection between science and destruction is structural, not accidental -- states fund science because it produces military advantage.",8,T,application,hard,no
"Compare the Eurozone and the pre-WWI gold standard as systems of economic integration using the Economic (E) lens.","Gold standard: linked currencies automatically through gold convertibility; worked when economies were stable; collapsed under WWI's financial stress. Eurozone: shared currency without shared fiscal policy; works when economies converge; cracks under asymmetric shocks (2008 crisis). Both attempted monetary integration without political union, and both revealed that economic linkages without political solidarity create fragility during crises.",9,E,comparison,hard,no
